Exercise,Age,Gender,BMI
Qi Gong,55,Female,27.41659776
Water Aerobics,36,Female,30.78371588
Light Calisthenics,49,Male,29.12699849
Water Aerobics,29,Male,32.99934932
Gardening,33,Male,28.55234297
Gardening,27,Male,23.81714362
Meditation and Deep Breathing,31,Male,31.32520604
Kayaking,26,Male,20.6060702
Gardening,50,Female,28.57897471
Water Aerobics,42,Female,20.49513839
Stretching Routine,33,Female,27.21933461
Meditation and Deep Breathing,40,Male,27.69535977
Light Calisthenics,51,Male,23.77270302
Gardening,33,Female,28.84949168
Qi Gong,33,Female,26.08065414
Stretching Routine,53,Female,31.15888869
Pilates,36,Female,19.43696481
Kayaking,34,Male,25.14663618
Stretching Routine,33,Female,29.04333801
Qi Gong,59,Female,24.96459797
Qi Gong,26,Female,30.97978916
Pilates,53,Male,29.11206537
Golf (Walking),50,Male,19.88390583
Kayaking,43,Male,28.51221811
Kayaking,44,Female,30.78050524
Qi Gong,49,Male,34.31016474
Golf (Walking),48,Male,32.77594993
Meditation and Deep Breathing,51,Male,33.81986731
Meditation and Deep Breathing,34,Male,25.27972943
Low-Intensity Dance Class,36,Female,22.49001387
Gardening,25,Female,26.08566354
Golf (Walking),23,Female,20.73005249
Meditation and Deep Breathing,31,Male,33.76294623
Gardening,52,Male,31.82463254
Light Calisthenics,45,Female,19.22291901
Kayaking,50,Male,28.23319224
Gardening,18,Male,32.00692742
Gardening,50,Female,27.12216782
Pilates,60,Male,18.91953256
Meditation and Deep Breathing,20,Female,24.52046004
Water Aerobics,41,Male,27.74067324
Gardening,59,Female,27.52028118
Water Aerobics,52,Female,23.10423473
Golf (Walking),52,Male,22.14359745
Meditation and Deep Breathing,22,Female,33.53652925
Golf (Walking),35,Female,27.82311916
Golf (Walking),49,Male,18.89012037
Water Aerobics,55,Female,20.75712358
Stretching Routine,21,Male,19.98108565
Qi Gong,58,Female,23.02159716
Pilates,36,Male,24.15372792
Water Aerobics,43,Female,29.66931469
Gardening,23,Female,32.47659449
Meditation and Deep Breathing,48,Male,24.20006275
Kayaking,34,Female,26.04366519
Light Calisthenics,51,Female,21.07301405
Low-Intensity Dance Class,43,Male,32.03957651
Stretching Routine,44,Male,24.85170449
Light Calisthenics,33,Male,34.74902174
Kayaking,45,Male,33.34780113
Pilates,40,Female,19.60346448
Qi Gong,35,Male,27.1459802
Qi Gong,48,Male,31.48063898
Kayaking,31,Female,22.45711431
Water Aerobics,32,Female,18.5863689
Low-Intensity Dance Class,32,Female,30.13467809
Low-Intensity Dance Class,30,Male,32.62707649
Qi Gong,26,Male,22.6464056
Kayaking,53,Male,29.18529522
Golf (Walking),33,Female,33.53423947
Light Calisthenics,58,Male,23.10795339
Pilates,37,Female,33.03128129
Golf (Walking),46,Male,31.97198485
Pilates,28,Female,23.75365166
Qi Gong,53,Female,29.31870247
Stretching Routine,45,Male,19.7838343
Low-Intensity Dance Class,28,Male,22.08277051
Low-Intensity Dance Class,25,Male,31.01658653
Meditation and Deep Breathing,47,Female,24.3232377
Golf (Walking),20,Male,29.47589858
Stretching Routine,40,Male,26.39199394
Qi Gong,35,Male,29.74416444
Golf (Walking),39,Male,31.74940424
Meditation and Deep Breathing,48,Female,23.02789564
Gardening,41,Female,26.76288978
Stretching Routine,54,Female,33.69641576
Water Aerobics,27,Female,23.04409868
Qi Gong,41,Female,18.81589395
Meditation and Deep Breathing,53,Female,32.73007094
Meditation and Deep Breathing,45,Male,30.84312574
Qi Gong,38,Male,18.87882684
Stretching Routine,59,Male,32.08948954
Water Aerobics,45,Male,32.83012873
Meditation and Deep Breathing,32,Male,18.86226359
Meditation and Deep Breathing,50,Female,27.94605146
Kayaking,52,Male,20.09531161
Pilates,52,Male,31.86760424
Meditation and Deep Breathing,22,Female,29.38110186
Water Aerobics,40,Female,30.99624352
Kayaking,51,Male,24.25744527
Kayaking,50,Female,25.87628743
Golf (Walking),35,Female,24.62438399
Water Aerobics,34,Male,30.48837699
Meditation and Deep Breathing,20,Male,26.59424074
Meditation and Deep Breathing,37,Female,29.82187044
Low-Intensity Dance Class,22,Female,23.16263251
Water Aerobics,21,Male,18.760376
Water Aerobics,21,Female,32.58452232
Pilates,47,Female,30.70258848
Qi Gong,53,Female,23.18826049
Pilates,25,Male,21.33364473
Gardening,60,Female,24.09229877
Meditation and Deep Breathing,41,Female,27.76285925
Light Calisthenics,31,Female,20.5641184
Gardening,51,Male,27.54347185
Stretching Routine,54,Male,23.65607488
Qi Gong,35,Male,18.66938906
Water Aerobics,36,Male,20.26549157
Kayaking,41,Male,27.7697699
Water Aerobics,30,Male,22.14889456
Meditation and Deep Breathing,39,Male,18.54322539
Low-Intensity Dance Class,53,Male,23.17252154
Stretching Routine,42,Female,28.19205119
Light Calisthenics,22,Male,18.67465681
Qi Gong,29,Male,24.69631432
Pilates,46,Female,21.82198906
Gardening,38,Female,31.90864517
Meditation and Deep Breathing,23,Male,22.73829106
Kayaking,29,Female,19.52996113
Qi Gong,31,Male,20.74128725
Gardening,47,Female,21.62938771
Golf (Walking),22,Female,29.22958968
Pilates,52,Female,34.7224654
Gardening,19,Male,30.92235583
Qi Gong,21,Male,21.49178539
Gardening,30,Male,21.98038819
Light Calisthenics,52,Female,21.60879559
Low-Intensity Dance Class,27,Male,31.631751
Water Aerobics,20,Female,23.31940114
Water Aerobics,36,Male,19.0023448
Water Aerobics,35,Female,20.55747304
Pilates,31,Male,23.0009551
Water Aerobics,56,Female,32.47777947
Gardening,60,Male,27.89373678
Golf (Walking),31,Female,26.41440739
Water Aerobics,54,Male,34.58415926
Water Aerobics,19,Male,19.61382756
Stretching Routine,49,Female,28.92370698
Light Calisthenics,46,Female,33.15640773
Meditation and Deep Breathing,56,Female,21.35452462
Meditation and Deep Breathing,20,Female,25.72177201
Light Calisthenics,26,Female,28.08542006
Meditation and Deep Breathing,59,Female,19.66335311
Qi Gong,21,Male,25.48535168
Golf (Walking),20,Male,20.4107327
Meditation and Deep Breathing,24,Male,28.06317607
Qi Gong,57,Male,28.1427992
Stretching Routine,27,Male,22.10314342
Low-Intensity Dance Class,46,Female,26.97776439
Pilates,18,Male,30.83613785
Low-Intensity Dance Class,23,Male,24.43836304
Meditation and Deep Breathing,46,Male,28.21075155
Water Aerobics,20,Male,32.67987331
Low-Intensity Dance Class,23,Male,19.35051372
Qi Gong,24,Female,26.16538749
Kayaking,57,Female,26.55712154
Qi Gong,32,Male,26.19390899
Kayaking,44,Male,32.02227931
Water Aerobics,33,Female,29.52264656
Light Calisthenics,55,Male,23.89700279
Meditation and Deep Breathing,27,Female,20.21420255
Golf (Walking),19,Female,34.54023385
Qi Gong,20,Female,32.28287961
Water Aerobics,49,Male,34.1631281
Light Calisthenics,54,Female,26.45014104
Water Aerobics,23,Female,19.58614011
Qi Gong,45,Female,26.78996561
Golf (Walking),55,Male,24.71056299
Light Calisthenics,30,Female,32.93030279
Meditation and Deep Breathing,50,Male,23.61800851
Stretching Routine,23,Female,19.60424085
Pilates,18,Male,23.36666378
Gardening,53,Female,28.22957468
Pilates,36,Female,33.82256022
Qi Gong,27,Male,28.94269268
Light Calisthenics,46,Male,25.9403312
Qi Gong,55,Male,32.46454998
Pilates,59,Male,32.5378056
Low-Intensity Dance Class,39,Female,22.04256614
Gardening,18,Female,19.77707296
Light Calisthenics,55,Female,22.27379469
Qi Gong,45,Female,23.38197081
Golf (Walking),34,Male,18.51563581
Light Calisthenics,43,Female,29.90318986
Meditation and Deep Breathing,29,Female,34.65983175
Water Aerobics,38,Female,32.42612376
Pilates,39,Male,23.06316422
Qi Gong,56,Female,30.03228229
Kayaking,24,Female,28.12251568
Qi Gong,37,Female,23.73868075
Meditation and Deep Breathing,45,Male,30.44635735
Pilates,37,Male,27.5537724
Water Aerobics,35,Female,31.93318685
Stretching Routine,30,Female,22.88044241
Stretching Routine,48,Male,25.02420278
Light Calisthenics,34,Male,27.83616889
Golf (Walking),55,Male,18.55982102
Pilates,54,Male,29.33006193
Golf (Walking),31,Male,31.42791664
Gardening,50,Male,29.64459981
Kayaking,55,Female,25.79638256
Water Aerobics,51,Female,34.30101896
Gardening,38,Male,19.38044987
Golf (Walking),25,Female,18.50606393
Golf (Walking),51,Male,19.61741799
Qi Gong,26,Female,21.18023042
Gardening,30,Female,19.59799242
Water Aerobics,24,Female,29.31263494
Golf (Walking),49,Female,25.87067574
Light Calisthenics,19,Male,31.51993728
Kayaking,44,Male,20.53698638
Water Aerobics,53,Male,23.32558261
Pilates,52,Female,22.65155305
Kayaking,51,Female,29.84182037
Stretching Routine,57,Male,22.22596697
Water Aerobics,55,Male,22.41412426
Qi Gong,31,Female,22.51935156
Stretching Routine,25,Male,23.00350687
Golf (Walking),29,Female,34.28590941
Golf (Walking),35,Female,32.75970624
Golf (Walking),24,Female,30.98808757
Low-Intensity Dance Class,34,Female,33.75723338
Golf (Walking),24,Male,24.18336582
Meditation and Deep Breathing,24,Female,30.10088577
Low-Intensity Dance Class,46,Male,19.37100473
Stretching Routine,31,Male,32.14367503
Pilates,28,Female,20.87232358
Kayaking,33,Female,23.26072649
Kayaking,42,Male,27.03294125
Stretching Routine,45,Male,21.59863649
Kayaking,54,Female,22.01830836
Meditation and Deep Breathing,49,Male,22.30748625
Water Aerobics,36,Male,27.63380046
Light Calisthenics,43,Female,30.92409608
Pilates,29,Female,27.31519072
Water Aerobics,51,Male,25.81128801
Gardening,52,Male,26.53494224
Pilates,53,Female,19.36209546
Golf (Walking),32,Male,26.93518437
Stretching Routine,45,Female,19.03746229
Light Calisthenics,19,Male,33.84056617
Water Aerobics,56,Male,20.9875027
Low-Intensity Dance Class,26,Male,18.9209794
Kayaking,49,Female,28.21537511
Pilates,21,Female,33.84314491
Stretching Routine,55,Female,21.74667278
Meditation and Deep Breathing,30,Female,34.22151866
Light Calisthenics,57,Male,20.20311051
Gardening,26,Male,26.86953756
Water Aerobics,28,Male,30.93977946
Pilates,57,Female,21.9382647
Kayaking,19,Male,34.64035039
Meditation and Deep Breathing,38,Male,30.45807863
Meditation and Deep Breathing,24,Female,26.64382525
Meditation and Deep Breathing,38,Male,24.72916099
Stretching Routine,34,Male,29.72782026
Gardening,46,Female,26.63654115
Kayaking,56,Male,19.77090661
Gardening,45,Female,20.77319485
Meditation and Deep Breathing,34,Female,26.2227057
Water Aerobics,49,Female,20.25214877
Kayaking,39,Female,24.70695178
Stretching Routine,30,Female,32.53007127
Meditation and Deep Breathing,53,Female,30.4837272
Light Calisthenics,43,Female,20.09907708
Stretching Routine,55,Male,27.63447621
Low-Intensity Dance Class,27,Female,30.87658596
Qi Gong,40,Male,27.76295201
Meditation and Deep Breathing,58,Female,23.3523762
Golf (Walking),36,Female,28.74844066
Stretching Routine,35,Male,24.87670877
Low-Intensity Dance Class,34,Female,26.04922306
Gardening,57,Male,32.42532233
Gardening,20,Male,29.12949234
Water Aerobics,42,Male,20.42150376
Low-Intensity Dance Class,29,Male,29.96730939
Gardening,28,Male,24.72930965
Golf (Walking),47,Female,21.33183954
Kayaking,58,Male,33.53152678
Pilates,56,Female,19.26147443
Low-Intensity Dance Class,30,Female,19.66817764
Gardening,53,Female,32.04431954
Stretching Routine,30,Male,34.7235601
Kayaking,39,Male,34.17763909
Meditation and Deep Breathing,37,Male,23.64035674
Qi Gong,21,Male,26.59042365
Golf (Walking),36,Male,24.40774232
Light Calisthenics,57,Male,21.86546878
Stretching Routine,29,Male,20.83708579
Meditation and Deep Breathing,37,Male,32.77302162
Pilates,54,Male,33.73388252
Water Aerobics,24,Female,26.13172891
Stretching Routine,40,Male,25.64099044
Light Calisthenics,45,Female,30.59554507
Qi Gong,55,Male,21.15492619
Pilates,52,Male,24.45260551
Water Aerobics,35,Male,22.04231217
Low-Intensity Dance Class,38,Male,34.16678441
Stretching Routine,31,Female,26.93202556
Low-Intensity Dance Class,26,Male,18.71256081
Light Calisthenics,33,Female,28.05817071
Water Aerobics,58,Male,31.50959416
Golf (Walking),47,Male,33.52184776
Low-Intensity Dance Class,19,Female,24.73260398
Pilates,34,Male,29.29045827
Pilates,39,Male,30.71432497
Water Aerobics,32,Female,30.25608198
Meditation and Deep Breathing,40,Male,33.1086555
Stretching Routine,55,Male,21.43371646
Qi Gong,32,Female,20.74764593
Kayaking,42,Female,32.43840861
Stretching Routine,33,Female,22.07531151
Meditation and Deep Breathing,37,Male,19.51826259
Gardening,56,Male,30.64296342
Qi Gong,28,Female,28.76789313
Kayaking,33,Female,22.84033936
Meditation and Deep Breathing,28,Female,34.85195339
Pilates,21,Male,33.75325102
Water Aerobics,60,Male,31.86719972
Stretching Routine,21,Male,19.87459842
Golf (Walking),46,Female,19.11939826
Low-Intensity Dance Class,56,Female,22.50907003
Kayaking,20,Female,33.03728093
Light Calisthenics,60,Male,25.72857371
Stretching Routine,50,Female,22.27028227
Stretching Routine,31,Female,28.04711312
Light Calisthenics,26,Female,24.32374362
Gardening,40,Male,23.07684229
Gardening,49,Male,20.11239573
Meditation and Deep Breathing,31,Male,20.25306898
Gardening,54,Female,33.16332944
Golf (Walking),36,Male,24.33746098
Pilates,49,Male,29.58388847
Kayaking,59,Female,26.96936011
Pilates,60,Male,21.13069865
Water Aerobics,20,Male,28.72009858
Qi Gong,52,Male,32.14448427
Water Aerobics,33,Male,19.51630264
Light Calisthenics,60,Male,25.34225333
Kayaking,47,Female,18.81002061
Water Aerobics,42,Male,24.04627149
Meditation and Deep Breathing,60,Female,20.5839799
Meditation and Deep Breathing,48,Male,28.93345682
Stretching Routine,39,Female,30.60402539
Water Aerobics,48,Female,27.0136228
Qi Gong,47,Female,33.8182362
Light Calisthenics,51,Male,29.91361556
Stretching Routine,38,Male,33.05159047
Qi Gong,24,Male,27.08190102
Golf (Walking),51,Male,31.37043892
Golf (Walking),37,Female,29.86695801
Golf (Walking),45,Male,22.04150856
Gardening,33,Male,30.20508986
Meditation and Deep Breathing,55,Female,30.56505783
Stretching Routine,54,Female,31.20831146
Meditation and Deep Breathing,38,Female,24.12677886
Pilates,49,Female,22.3131664
Meditation and Deep Breathing,57,Female,29.32251499
Light Calisthenics,49,Male,26.36859337
Golf (Walking),28,Male,34.52402187
Water Aerobics,39,Female,29.24268416
Qi Gong,60,Male,31.21338427
Golf (Walking),60,Female,28.66875003
Meditation and Deep Breathing,22,Female,26.40010786
Light Calisthenics,35,Female,33.43751831
Kayaking,40,Male,33.99997577
Qi Gong,50,Female,32.51175435
Gardening,39,Female,29.34823962
Meditation and Deep Breathing,29,Male,32.93851267
Low-Intensity Dance Class,18,Male,29.98034521
Low-Intensity Dance Class,51,Male,27.17760804
Meditation and Deep Breathing,60,Male,19.12986855
Water Aerobics,42,Male,24.33448169
Stretching Routine,34,Male,28.15567171
Low-Intensity Dance Class,43,Male,22.63004194
Stretching Routine,60,Male,21.16444615
Meditation and Deep Breathing,46,Male,20.63215287
Qi Gong,22,Male,32.9499081
Stretching Routine,31,Female,20.41336821
Gardening,53,Female,29.20340682
Stretching Routine,53,Female,33.72597988
Kayaking,59,Female,20.7514797
Qi Gong,33,Male,24.13692125
Water Aerobics,49,Female,24.99902603
Pilates,58,Female,32.55046651
Qi Gong,60,Male,21.93100209
Gardening,52,Male,33.30764591
Gardening,31,Female,32.8540763
Golf (Walking),19,Male,26.45571866
Golf (Walking),59,Female,20.80620652
Pilates,56,Female,34.87182365
Kayaking,24,Female,22.0141175
Qi Gong,55,Male,33.4499668
Water Aerobics,33,Female,33.73465277
Pilates,29,Female,24.31710277
Low-Intensity Dance Class,57,Female,25.14307275
Meditation and Deep Breathing,48,Male,24.91434831
Gardening,26,Male,27.4032528
Meditation and Deep Breathing,37,Male,30.14895287
Gardening,56,Female,27.91316091
Gardening,48,Female,27.87067244
Gardening,45,Female,32.00968738
Meditation and Deep Breathing,28,Female,23.09537934
Pilates,30,Male,24.26185382
Kayaking,34,Male,20.38368419
Low-Intensity Dance Class,22,Male,21.25349935
Stretching Routine,56,Female,20.24144309
Golf (Walking),27,Female,29.62935578
Light Calisthenics,46,Male,25.87854114
Stretching Routine,29,Female,31.06103148
Pilates,44,Female,21.59533754
Golf (Walking),41,Female,18.60692468
Light Calisthenics,25,Female,34.22197702
Light Calisthenics,21,Male,26.7734573
Pilates,55,Male,32.95995836
Stretching Routine,59,Male,18.72846283
Kayaking,30,Male,30.97940989
Water Aerobics,41,Female,21.29014075
Low-Intensity Dance Class,49,Female,24.94946656
Stretching Routine,29,Male,34.5251792
Golf (Walking),45,Female,26.92572855
Meditation and Deep Breathing,23,Male,34.17889455
Light Calisthenics,47,Male,24.27969268
Meditation and Deep Breathing,59,Male,21.86479405
Kayaking,35,Female,20.99193128
Golf (Walking),56,Male,20.05923799
Qi Gong,25,Female,21.51102523
Qi Gong,26,Female,22.18158951
Water Aerobics,44,Male,18.53420823
Gardening,59,Female,20.97211588
Golf (Walking),45,Female,31.40985642
Light Calisthenics,54,Female,29.3392887
Light Calisthenics,37,Female,23.23276867
Low-Intensity Dance Class,47,Female,25.83806728
Low-Intensity Dance Class,29,Male,26.53330377
Light Calisthenics,58,Male,26.36235842
Gardening,53,Male,32.46857245
Light Calisthenics,54,Male,24.84276138
Low-Intensity Dance Class,25,Male,33.51356607
Gardening,34,Male,20.81265637
Water Aerobics,27,Male,20.16697404
Qi Gong,49,Female,33.56775935
Meditation and Deep Breathing,43,Female,23.77147207
Kayaking,27,Female,19.93455067
Stretching Routine,29,Female,33.05758274
Qi Gong,53,Female,34.5866025
Stretching Routine,37,Male,27.15660399
Pilates,38,Male,34.58203461
Pilates,34,Male,20.43374846
Meditation and Deep Breathing,45,Male,24.38081043
Golf (Walking),41,Female,34.40566056
Light Calisthenics,58,Female,31.92007243
Gardening,44,Female,24.87972741
Golf (Walking),27,Male,20.07507597
Meditation and Deep Breathing,26,Male,23.20651296
Qi Gong,56,Female,31.8217118
Low-Intensity Dance Class,47,Male,29.90304404
Qi Gong,23,Male,27.61126103
Stretching Routine,24,Female,31.41961858
Stretching Routine,26,Female,32.12580149
Gardening,58,Male,26.38898643
Meditation and Deep Breathing,42,Female,24.60681338
Meditation and Deep Breathing,33,Female,22.3220503
Low-Intensity Dance Class,59,Female,27.88020182
Pilates,39,Male,32.17668213
Kayaking,19,Female,30.35743188
Gardening,40,Female,31.21749486
Kayaking,53,Male,29.02076238
Stretching Routine,39,Female,22.80365486
Stretching Routine,48,Female,19.78279574
Gardening,44,Male,25.57467983
Water Aerobics,35,Female,29.69310643
Pilates,35,Female,22.08939392
Stretching Routine,46,Female,23.87666262
Golf (Walking),31,Male,26.50119664
Water Aerobics,41,Female,28.58901962
Pilates,18,Female,28.93927103
Qi Gong,31,Female,33.84199324
Gardening,29,Male,34.64697818
Low-Intensity Dance Class,35,Female,27.02187392
Pilates,33,Female,23.2831181
Gardening,59,Male,34.2462082
Stretching Routine,30,Male,26.39472248
Meditation and Deep Breathing,33,Male,18.53104085
Golf (Walking),22,Female,21.9719828
Golf (Walking),42,Female,18.58828878
Qi Gong,39,Male,27.57138902
Qi Gong,20,Female,23.8542231
Light Calisthenics,53,Male,23.47817214
Qi Gong,25,Female,20.80325625
Golf (Walking),25,Male,31.22888887
Gardening,48,Male,29.10107008
Golf (Walking),55,Male,18.82894568
Kayaking,59,Male,26.80802648
Golf (Walking),22,Female,22.96047089
Qi Gong,36,Female,32.01162044
Light Calisthenics,32,Male,30.17691455
Low-Intensity Dance Class,53,Male,32.06566434
Meditation and Deep Breathing,50,Male,21.09574533
Qi Gong,48,Female,31.33217407
Water Aerobics,57,Female,21.01342312
Gardening,50,Male,27.17568678
Gardening,45,Male,19.56238993
Low-Intensity Dance Class,21,Female,31.61992112
Pilates,43,Female,33.03987819
Low-Intensity Dance Class,51,Female,34.58978993
Gardening,52,Male,32.85971133
Stretching Routine,47,Female,24.08663286
Pilates,34,Female,29.57871024
Low-Intensity Dance Class,42,Female,22.11208404
Low-Intensity Dance Class,27,Male,21.71666288
Light Calisthenics,31,Female,22.81841143
Stretching Routine,42,Male,23.57783251
Gardening,37,Female,19.95756462
Low-Intensity Dance Class,36,Female,25.25462745
Gardening,33,Female,22.829192
Kayaking,47,Male,31.1099449
Stretching Routine,31,Male,26.28162249
Pilates,19,Male,24.08819529
Meditation and Deep Breathing,54,Male,28.65834863
Meditation and Deep Breathing,31,Male,22.36732482
Water Aerobics,30,Male,25.02860138
Qi Gong,21,Female,26.25791756
Meditation and Deep Breathing,55,Female,32.71061471
Stretching Routine,35,Male,30.6006848
Water Aerobics,56,Male,29.13459445
Pilates,29,Male,19.13616352
Light Calisthenics,51,Male,25.27223904
Meditation and Deep Breathing,25,Female,21.5812823
Water Aerobics,21,Female,31.16443631
Stretching Routine,52,Male,23.88052958
Meditation and Deep Breathing,38,Female,33.67636977
Water Aerobics,55,Male,19.18770837
Water Aerobics,18,Male,31.75585532
Kayaking,60,Female,21.21039862
Gardening,29,Female,22.44015472
Light Calisthenics,22,Female,19.798414
Kayaking,48,Female,24.19574581
Stretching Routine,57,Female,34.13315506
Stretching Routine,43,Female,19.8821009
Meditation and Deep Breathing,60,Female,21.57844021
Golf (Walking),60,Female,27.46819757
Meditation and Deep Breathing,34,Male,32.93762043
Pilates,50,Female,23.7029694
Gardening,39,Female,22.74102915
Kayaking,26,Female,19.29995844
Light Calisthenics,59,Male,23.18168808
Qi Gong,38,Male,33.26988063
Light Calisthenics,26,Male,22.78370036
Pilates,42,Female,34.7439156
Pilates,48,Male,26.42690182
Gardening,31,Female,33.18660028
Gardening,22,Female,21.70732791
Stretching Routine,43,Female,26.89479494
Light Calisthenics,20,Male,29.08271802
Gardening,44,Male,30.47736063
Gardening,37,Female,27.51228182
Pilates,55,Male,19.34918949
Light Calisthenics,43,Male,20.95977343
Low-Intensity Dance Class,45,Male,33.90418381
Water Aerobics,60,Female,33.67862301
Golf (Walking),24,Male,26.82160285
Water Aerobics,53,Female,30.45852704
Kayaking,60,Female,18.57481225
Pilates,46,Male,22.61868419
Stretching Routine,19,Female,31.23324753
Qi Gong,21,Female,32.40226103
Light Calisthenics,45,Male,24.90959313
Pilates,49,Female,31.86255868
Gardening,40,Male,29.47067708
Qi Gong,46,Female,21.73408918
Pilates,30,Male,30.15216969
Qi Gong,24,Male,25.5293098
Qi Gong,33,Female,19.5316931
Water Aerobics,25,Female,34.56886442
Golf (Walking),32,Male,29.3886527
Water Aerobics,33,Female,24.10878563
Meditation and Deep Breathing,20,Male,29.30702055
Pilates,34,Female,29.65132813
Light Calisthenics,58,Male,18.6051808
Pilates,55,Male,25.87470753
Golf (Walking),41,Female,24.2620957
Golf (Walking),31,Female,30.48539424
Golf (Walking),54,Female,27.87158975
Qi Gong,46,Female,23.74871843
Low-Intensity Dance Class,26,Female,23.00600917
Low-Intensity Dance Class,40,Male,22.15731412
Golf (Walking),46,Male,28.26706605
Qi Gong,35,Female,28.7814618
Qi Gong,35,Female,26.62949226
Qi Gong,44,Male,18.79736358
Gardening,60,Male,21.55094154
Low-Intensity Dance Class,26,Female,25.02733945
Gardening,47,Female,25.67483246
Pilates,49,Female,31.9653375
Low-Intensity Dance Class,56,Female,24.34568214
Pilates,45,Male,27.22236755
Kayaking,24,Female,19.31830211
Golf (Walking),23,Female,29.21374482
Meditation and Deep Breathing,49,Female,29.32348027
Qi Gong,58,Male,34.56071323
Golf (Walking),18,Male,23.91238966
Light Calisthenics,37,Female,30.98355459
Stretching Routine,37,Female,26.39405656
Kayaking,32,Male,30.19656671
Stretching Routine,43,Female,31.19088161
Light Calisthenics,19,Male,30.49883251
Pilates,21,Female,23.96841504
Golf (Walking),49,Male,24.01118987
Pilates,46,Female,30.87172504
Pilates,51,Male,23.25731976
Kayaking,60,Female,32.7132934
Kayaking,58,Male,30.31093283
Kayaking,23,Female,19.08618588
Qi Gong,38,Female,29.32702084
Water Aerobics,45,Male,33.88800279
Low-Intensity Dance Class,51,Male,31.87395905
Golf (Walking),47,Female,19.76512587
Water Aerobics,57,Male,27.61480449
Low-Intensity Dance Class,27,Female,24.1112524
Pilates,36,Female,30.79140456
Pilates,36,Male,19.16989153
Stretching Routine,18,Female,25.10768759
Golf (Walking),59,Female,33.42479156
Qi Gong,55,Female,21.47421296
Stretching Routine,58,Female,27.27848241
Qi Gong,56,Female,18.58726193
Kayaking,48,Female,31.18756786
Pilates,51,Female,31.72815782
Kayaking,25,Female,28.79783111
Water Aerobics,48,Male,34.41568574
Pilates,50,Male,34.40102122
Light Calisthenics,36,Female,20.37023107
Low-Intensity Dance Class,40,Female,29.15532567
Water Aerobics,34,Female,28.74204834
Golf (Walking),26,Female,22.10729189
Golf (Walking),25,Female,27.57549452
Stretching Routine,49,Male,28.81994194
Low-Intensity Dance Class,44,Male,24.45452992
Pilates,47,Female,32.37315253
Qi Gong,52,Male,20.88206221
Light Calisthenics,48,Female,21.83791321
Qi Gong,28,Male,20.64066157
Low-Intensity Dance Class,18,Male,23.6627035
Light Calisthenics,26,Female,19.44335167
Gardening,32,Male,32.398793
Gardening,23,Female,19.28211805
Pilates,55,Male,28.78267758
Pilates,38,Male,25.9207455
Meditation and Deep Breathing,50,Female,30.43115266
Light Calisthenics,45,Female,26.85498681
Qi Gong,43,Female,27.09447675
Stretching Routine,55,Female,24.40349732
Low-Intensity Dance Class,23,Male,20.88016164
Low-Intensity Dance Class,34,Male,32.59142769
Light Calisthenics,20,Female,24.57070906
Golf (Walking),18,Female,27.37858168
Gardening,26,Female,26.51702156
Qi Gong,41,Male,23.69713045
Gardening,23,Female,29.04820191
Kayaking,18,Female,29.63558411
Low-Intensity Dance Class,26,Male,31.13777263
Water Aerobics,19,Female,25.56309483
Stretching Routine,48,Male,32.78197377
Meditation and Deep Breathing,43,Female,26.78388403
Low-Intensity Dance Class,45,Female,27.14492388
Stretching Routine,60,Female,31.46231981
Gardening,53,Male,23.37686598
Pilates,33,Female,21.24117285
Pilates,41,Male,34.93778565
Low-Intensity Dance Class,19,Male,29.38723124
Low-Intensity Dance Class,49,Female,34.17470674
Golf (Walking),54,Male,24.25488545
Stretching Routine,46,Female,30.24514729
Gardening,40,Male,31.03002995
Qi Gong,18,Male,29.17604008
Stretching Routine,20,Male,25.63550796
Stretching Routine,23,Female,23.93521028
Qi Gong,37,Female,24.17311372
Low-Intensity Dance Class,43,Male,34.93420446
Pilates,22,Female,26.44262261
Golf (Walking),38,Male,19.55712197
Meditation and Deep Breathing,37,Male,33.85128276
Kayaking,52,Male,21.07330031
Pilates,25,Female,27.25617633
Gardening,58,Female,31.07669526
Qi Gong,34,Female,31.44350695
Water Aerobics,43,Male,26.15110932
Qi Gong,31,Female,27.33853244
Low-Intensity Dance Class,39,Male,22.34384366
Stretching Routine,20,Female,23.39064822
Golf (Walking),60,Female,32.07782043
Water Aerobics,26,Male,26.59658565
Qi Gong,55,Female,27.76878037
Golf (Walking),48,Male,31.61737644
Low-Intensity Dance Class,57,Male,28.14934409
Gardening,20,Female,34.94864081
Stretching Routine,59,Male,24.76378198
Meditation and Deep Breathing,41,Female,28.0833546
Light Calisthenics,36,Female,21.13467091
Light Calisthenics,51,Male,30.16821626
Light Calisthenics,60,Female,33.07792401
Low-Intensity Dance Class,18,Male,28.75401143
Light Calisthenics,34,Female,28.61077609
Gardening,46,Female,29.69564355
Pilates,42,Male,28.30644451
Gardening,35,Male,26.1016313
Golf (Walking),40,Male,26.86246833
Qi Gong,44,Male,23.7688451
Golf (Walking),26,Male,23.83064866
Light Calisthenics,33,Female,19.27039845
Water Aerobics,36,Male,26.42848815
Golf (Walking),40,Female,31.31098548
Kayaking,46,Female,19.54135358
Kayaking,24,Female,31.50398522
Water Aerobics,46,Male,32.7919021
Meditation and Deep Breathing,19,Female,19.0688389
Light Calisthenics,48,Male,29.42284273
Gardening,40,Female,29.61554375
Pilates,42,Female,27.66800655
Light Calisthenics,52,Female,32.61972533
